,hierarquia_4,clientes
0,Fechamento Fatura,13829
1,Dúvidas sobre pagamento de fatura,33078
2,Envio de PIX,24397
3,Alteração de senha,8377
4, Falha no willbert,157
5,Reabertura de conta,12
6,Dúvidas sobre empréstimo/crédito pessoal,3959
7,Contactless,4278
8,Dúvidas PIX,5314
9,Cancelamento de conta will,927
10,Resultado da Proposta,4080
11,Rastreio de cartão,17801
12,Faturas futuras,4567
13,Aviso viagem,258
14,Consulta Saldo,232
15,Cartão adicional,970
16,Erro Funcionalidades,25570
17,Chaves PIX,2796
18,Wallet,1885
19,Novos Parceiros,1
20,Uso do cartão de débito,1827
21,Recebimento de TED,258
22,Recebimento de PIX,33588
23,Reenvio de cartão,13226
24,Boleto de Depósito,1798
25,Erro acessar app,5804
26,Cancelamento de cartão de débito,11
27,Problemas com a compra,42306
28,Lançamentos duplicados,1137
29,Problema no recebimento do cartão,10832
30,Dúvidas sobre cartão,2606
31,Member Get Member (MGM),975
32,Não reconhecimento de recarga/título/ted,356
33,Desbloqueio de cartão,3847
34,Fatura duplicada,812
35,Compra internacional,593
36,Gestão de Saque,2704
37,Chat sem retorno,9283
38,Reclamação pagamento cashback,608
39,Comunicação Loja will,9
40,Gestão de Recarga,9238
41,Gestão do Bolso/Rendimento Conta,4705
42,Devolução,4537
43,Alteração de Cadastro,31465
44,Antecipação de Fatura,15719
45,Dúvidas regras do cashback,1
46,Vencimento fatura,18032
47,Dúvidas FGTS,1528
48,Segunda via cartão,80355
49,Cartão black,126
50,Bloqueio de senha,10270
51,Aquisição de Crédito,1573
52,Cupom,8
53,Atendimento de terceiros,2627
54,Assunto não identificado,18116
55,Validação novo dispositivo,107376
56,Compensação fatura,41084
57,Informações sobre cartão,811
58,Token E-mail,11454
59,Novos Produtos,8874
60,Envio de TED,762
61,Prevenção à Fraude,607
62,Resultado análise de fraude,2917
63,Não entendimento fatura,24199
64,Parcelamento de compra,1349
65,Gestão de Extrato,5807
66,Dúvidas Conta,3032
67,Crédito pessoal,1418
68,Problema de Cadastro da proposta,53
69,Cartão virtual,4285
70,Primeiro Desbloqueio de cartão,7908
71,Bloqueio de conta,352
72,Token 3DS,385
73,Chat duplicado,138
74,Informações sobre fatura,25952
75,Dúvidas Marketplace,480
76,Dúvidas campanha,2505
77,Dúvidas sobre campanha gamificação,5971
78,Dúvidas em lançamentos,8238
79,Não reconhecimento de PIX,691
80,Token SMS,1917
81,Status da Proposta,22
82,Alteração de Cadastro na Proposta,39
83,Problemas no site ou app,3
84,Pagamento de Boleto,11652
85,Canais de atendimento,1233
86,Cancelamento de conta,32781
87,Cancelamento de compra no crédito,41827
88,Gerar fatura,7793
89,Falsidade ideológica,366
90,Não reconhecimento de compra no crédito,42210
