,flag_recom,clientes,conversao,conversao_perc,categoria
0,0,58280,86,0.0014756348661633494,OTICAS
1,1,14090,28,0.00198722498225692,OTICAS
2,0,60019,970,0.016161548842866427,LOJAS_ESPECIALIZADAS
3,1,12351,264,0.021374787466601895,LOJAS_ESPECIALIZADAS
4,0,67962,72,0.0010594155557517436,ESPORTIVO
5,1,4408,5,0.001134301270417423,ESPORTIVO
6,0,53728,0,0.0,C_COMPRA_PARCELADA
7,1,18642,0,0.0,C_COMPRA_PARCELADA
8,0,63920,493,0.007712765957446808,MANUTENCAO_AUTOMOTIVA
9,1,8450,112,0.013254437869822486,MANUTENCAO_AUTOMOTIVA
10,0,69279,134,0.0019342080572756536,ACADEMIAS
11,1,3091,16,0.00517631834357813,ACADEMIAS
12,0,68752,773,0.011243309285548057,SUPRIMENTOS_PARA_CASA
13,1,3618,83,0.022940851299060254,SUPRIMENTOS_PARA_CASA
14,0,69649,59,0.0008471047681948054,SEGURO
15,1,2721,3,0.0011025358324145535,SEGURO
16,0,20094,11,0.000547427092664477,C_PAGTO_DE_TITULOS_NO_CREDITO
17,1,52276,100,0.0019129237126023415,C_PAGTO_DE_TITULOS_NO_CREDITO
18,0,52424,2045,0.03900885090798108,C_PIX_NO_CREDITO
19,1,19946,908,0.045522911862027476,C_PIX_NO_CREDITO
20,0,67956,96,0.0014126787921596327,ELETRICIDADE_GAS
21,1,4414,9,0.0020389669234254643,ELETRICIDADE_GAS
22,0,71244,293,0.0041126270282409744,PET
23,1,1126,8,0.007104795737122558,PET
24,0,69335,6061,0.08741616788057979,VAREJISTAS
25,1,3035,310,0.10214168039538715,VAREJISTAS
26,0,70160,676,0.009635119726339795,SERVICOS
27,1,2210,27,0.012217194570135747,SERVICOS
28,0,70045,185,0.002641159254764794,REFORMAS_CONSTRUCAO
29,1,2325,11,0.004731182795698925,REFORMAS_CONSTRUCAO
30,0,68478,116,0.0016939747072052338,REPAROS
31,1,3892,7,0.0017985611510791368,REPAROS
32,0,66815,39,0.0005837012646860735,BICICLETA
33,1,5555,3,0.00054005400540054,BICICLETA
34,0,70818,215,0.003035951311813381,ACOUGUE
35,1,1552,13,0.008376288659793814,ACOUGUE
36,0,71674,145,0.0020230488043083963,CONTABILIDADE_AUDITORIA_SEGUROS
37,1,696,3,0.004310344827586207,CONTABILIDADE_AUDITORIA_SEGUROS
38,0,72009,1433,0.01990029024149759,PADARIAS
39,1,361,8,0.0221606648199446,PADARIAS
40,0,66751,3798,0.05689802399964045,DISTRIBUIDORES
41,1,5619,356,0.06335646912261968,DISTRIBUIDORES
42,0,70385,126,0.0017901541521631028,PUBLICIDADE_ANUNCIOS
43,1,1985,5,0.0025188916876574307,PUBLICIDADE_ANUNCIOS
44,0,64781,221,0.0034114941109275867,HOSPITAIS_OU_CLINICAS
45,1,7589,30,0.003953089998682303,HOSPITAIS_OU_CLINICAS
46,0,71014,649,0.009139043005604528,ELETRONICOS
47,1,1356,16,0.011799410029498525,ELETRONICOS
48,0,71074,444,0.006247010158426429,MATERIAL_EQUIP_ESCRITORIO
49,1,1296,15,0.011574074074074073,MATERIAL_EQUIP_ESCRITORIO
50,0,72180,152,0.0021058464948739263,ESTACIONAMENTOS
51,1,190,0,0.0,ESTACIONAMENTOS
52,0,65116,410,0.006296455556238098,C_ANTECIPACAO_FGTS
53,1,7254,99,0.013647642679900745,C_ANTECIPACAO_FGTS
54,0,68327,4532,0.0663280987018309,VESTUARIO
55,1,4043,353,0.08731140242394261,VESTUARIO
56,0,68165,15758,0.23117435634123085,C_COMPRA_NO_DEBITO
57,1,4205,2065,0.49108204518430437,C_COMPRA_NO_DEBITO
58,0,71489,166,0.0023220355579180014,DELICATESSEN
59,1,881,6,0.00681044267877412,DELICATESSEN
60,0,28997,194,0.006690347277304548,C_EMPRESTIMO_PESSOAL
61,1,43373,1046,0.024116385769949046,C_EMPRESTIMO_PESSOAL
62,0,65968,221,0.0033501091438273103,EDUCACAO
63,1,6402,28,0.0043736332396126214,EDUCACAO
64,0,71276,2219,0.03113249901790224,FARMACIAS_E_DROGARIAS
65,1,1094,69,0.06307129798903108,FARMACIAS_E_DROGARIAS
66,0,64004,2706,0.04227860758702581,MULTICATEGORIA
67,1,8366,426,0.0509203920631126,MULTICATEGORIA
68,0,68391,1976,0.028892690558699245,BELEZA
69,1,3979,152,0.03820055290273938,BELEZA
70,0,70477,210,0.002979695503497595,ARMARINHO
71,1,1893,14,0.007395668251452721,ARMARINHO
72,0,70787,174,0.0024580784607343155,ONIBUS
73,1,1583,5,0.003158559696778269,ONIBUS
74,0,68254,131,0.0019193014328830545,VIAGEM
75,1,4116,17,0.00413022351797862,VIAGEM
76,0,65008,534,0.008214373615555009,FINANCAS
77,1,7362,62,0.008421624558543873,FINANCAS
78,0,71248,3023,0.04242926117224343,ENTRETENIMENTO
79,1,1122,47,0.04188948306595366,ENTRETENIMENTO
80,0,71660,1038,0.01448506837845381,TAXIS
81,1,710,13,0.018309859154929577,TAXIS
82,0,69715,900,0.012909703794018504,ATACADISTA
83,1,2655,78,0.02937853107344633,ATACADISTA
84,0,64073,3783,0.05904203018432101,RECARGA
85,1,8297,628,0.07569000843678438,RECARGA
86,0,70663,176,0.0024906952719244866,TI
87,1,1707,6,0.0035149384885764497,TI
88,0,71309,2657,0.03726037386585144,COMBUSTIVEL
89,1,1061,88,0.08294062205466542,COMBUSTIVEL
90,0,71726,1717,0.023938320832055323,RESTAURANTES
91,1,644,22,0.034161490683229816,RESTAURANTES
92,0,65268,55,0.0008426794141079856,COSMETICOS
93,1,7102,9,0.0012672486623486342,COSMETICOS
94,0,61078,269,0.004404204459870984,C_DEPOSITO_POR_BOLETO
95,1,11292,92,0.008147360963513992,C_DEPOSITO_POR_BOLETO
96,0,70970,2557,0.03602930815837678,LANCHONETES
97,1,1400,68,0.04857142857142857,LANCHONETES
98,0,71581,225,0.0031432922144144395,OUTROS_TRANSP_PUBLICO
99,1,789,2,0.0025348542458808617,OUTROS_TRANSP_PUBLICO
100,0,71373,689,0.009653510431115408,DELIVERY
101,1,997,17,0.017051153460381142,DELIVERY
102,0,71729,1436,0.02001979673493287,APP_TRANSPORTE
103,1,641,19,0.029641185647425898,APP_TRANSPORTE
104,0,72343,569,0.007865308322850864,C_SAQUE
105,1,27,3,0.1111111111111111,C_SAQUE
