,target,target
,mean,count
cluster,,
0,0.05170627861954666,139983
1,0.0,1
2,0.0,1
3,,0
4,0.0,1
5,0.0,1
6,,0
7,0.0,1
8,0.0,4
9,0.0,6
10,0.0,2
11,0.0,1
12,0.05555555555555555,18
13,0.0,1
14,0.0,3
15,0.0,1
16,0.025,40
17,0.055944055944055944,572
18,0.0,3
19,0.0,1
20,0.0,3
21,0.0,8
22,0.04777655273796398,8163
23,0.0,2
24,0.043478260869565216,161
25,0.0,3
26,0.047578947368421054,2375
27,0.0,2
28,1.0,1
29,0.0,15
30,0.0,2
31,0.0,4
32,0.0,1
33,0.016129032258064516,62
34,0.0,2
35,0.0,3
36,0.06666666666666667,15
37,0.05215451688127345,49315
38,0.05357142857142857,392
39,0.0,2
40,0.07058823529411765,85
41,0.0,3
42,0.0,5
43,0.0,3
44,0.0,3
45,0.0526774527428229,18357
46,0.04121475054229935,461
47,0.0,3
48,0.0,28
49,0.04675057796044182,3893
50,0.06652806652806653,962
51,0.0,2
52,0.08108108108108109,74
53,0.0,1
54,0.0,1
55,0.0,2
56,0.0,2
57,0.0,1
58,0.0,11
59,0.0,5
60,0.0,1
61,0.0,2
62,0.0,4
63,0.08333333333333333,12
64,0.14285714285714285,7
65,0.16666666666666666,6
66,0.054332874828060526,1454
67,0.053342264842758426,56728
68,0.05434782608695652,92
69,0.0,1
70,0.0,1
71,0.0821917808219178,73
72,0.058423275457531676,4262
73,0.03643724696356275,247
74,0.0,1
75,0.052224754731939355,30273
76,0.06140350877192982,114
77,0.05176394972386212,84016
78,0.05151706700379267,3164
79,0.0,3
80,0.0,2
81,0.0,1
82,0.026490066225165563,151
83,0.0,2
84,0.0,1
85,0.06926406926406926,462
86,0.045454545454545456,2222
87,0.0,4
88,0.0,16
89,0.0,1
90,0.045454545454545456,22
91,0.04597701149425287,609
92,0.04838023977552929,11761
93,0.2,5
94,0.05251903597913797,241779
95,0.0,1
96,0.0,6
97,0.0,2
98,0.2,5
99,0.05148005148005148,5439
