Date,ipca,igp-m,mes_instalacao
2020-01,"0,21","0,48",2020-01-01
2020-02,"0,25","-0,04",2020-02-01
2020-03,"0,07","1,24",2020-03-01
2020-04,"-0,31","0,8",2020-04-01
2020-05,"-0,38","0,28",2020-05-01
2020-06,"0,26","1,56",2020-06-01
2020-07,"0,36","2,23",2020-07-01
2020-08,"0,24","2,74",2020-08-01
2020-09,"0,64","4,34",2020-09-01
2020-10,"0,86","3,23",2020-10-01
2020-11,"0,89","3,28",2020-11-01
2020-12,"1,35","0,96",2020-12-01
2021-01,"0,25","2,58",2021-01-01
2021-02,"0,86","2,53",2021-02-01
2021-03,"0,93","2,94",2021-03-01
2021-04,"0,31","1,51",2021-04-01
2021-05,"0,83","4,1",2021-05-01
2021-06,"0,53","0,6",2021-06-01
2021-07,"0,96","0,78",2021-07-01
2021-08,"0,87","0,66",2021-08-01
2021-09,"1,16","-0,64",2021-09-01
2021-10,"1,25","0,64",2021-10-01
2021-11,"0,95","0,02",2021-11-01
2021-12,"0,73","0,87",2021-12-01
2022-01,"0,54","1,82",2022-01-01
2022-02,"1,01","1,83",2022-02-01
2022-03,"1,62","1,74",2022-03-01
2022-04,"1,06","1,41",2022-04-01
2022-05,"0,47","0,52",2022-05-01
2022-06,"0,67","0,59",2022-06-01
2022-07,"-0,68","0,21",2022-07-01
2022-08,"-0,36","-0,7",2022-08-01
2022-09,"-0,29","-0,95",2022-09-01
2022-10,"0,59","-0,97",2022-10-01
2022-11,"0,41","-0,56",2022-11-01
2022-12,"0,62","0,45",2022-12-01
2023-01,"0,53","0,21",2023-01-01
2023-02,"0,84","-0,06",2023-02-01
2023-03,"0,71","0,05",2023-03-01
2023-04,"0,61","-0,95",2023-04-01
2023-05,"0,23","-1,84",2023-05-01
2023-06,"-0,08","-1,93",2023-06-01
2023-07,"0,12","-0,72",2023-07-01
2023-08,"0,23","-0,14",2023-08-01
2023-09,"0,26","0,37",2023-09-01
2023-10,"0,24","0,5",2023-10-01
2023-11,"0,28","0,59",2023-11-01
